region,year,count
Renfrewshire,2011,79780
South Lanarkshire,2011,140560
Fife,2011,161866
Moray,2011,40180
West Dunbartonshire,2011,42962
Glasgow City,2011,288789
North Ayrshire,2011,62960
Orkney Islands,2011,9424
Shetland Islands,2011,9929
Perth and Kinross,2011,65105
Stirling,2011,37946
West Lothian,2011,73585
South Ayrshire,2011,52314
Outer Hebrides,2011,12566
North Lanarkshire,2011,146543
Scottish Borders,2011,52660
Dumfries and Galloway,2011,68720
Inverclyde,2011,36759
East Renfrewshire,2011,36539
Angus,2011,51334
East Ayrshire,2011,54948
City of Edinburgh,2011,225161
Aberdeenshire,2011,105397
Clackmannanshire,2011,22934
Falkirk,2011,69499
Argyll and Bute,2011,41396
East Dunbartonshire,2011,43459
Highland,2011,103864
East Lothian,2011,43518
Midlothian,2011,35664
Dundee City,2011,69913
Aberdeen City,2011,106657
East Dunbartonshire,2012,43773
Glasgow City,2012,288979
East Renfrewshire,2012,36834
Highland,2012,104827
Shetland Islands,2012,10043
Orkney Islands,2012,9529
Angus,2012,51744
Moray,2012,40536
Argyll and Bute,2012,41471
Renfrewshire,2012,79795
Scottish Borders,2012,52836
West Dunbartonshire,2012,42966
Clackmannanshire,2012,23048
Fife,2012,162703
Dundee City,2012,69999
Falkirk,2012,69880
West Lothian,2012,73906
Inverclyde,2012,36722
Aberdeenshire,2012,106439
North Ayrshire,2012,62999
Midlothian,2012,36135
Outer Hebrides,2012,12714
South Ayrshire,2012,52457
North Lanarkshire,2012,147334
East Ayrshire,2012,55201
Aberdeen City,2012,107273
South Lanarkshire,2012,141465
Perth and Kinross,2012,65408
Dumfries and Galloway,2012,69035
East Lothian,2012,43959
Stirling,2012,38182
City of Edinburgh,2012,225748
Scottish Borders,2013,53122
East Lothian,2013,44169
East Ayrshire,2013,55532
South Ayrshire,2013,52598
Dumfries and Galloway,2013,69357
Dundee City,2013,70277
South Lanarkshire,2013,142377
Clackmannanshire,2013,23141
East Dunbartonshire,2013,44099
West Dunbartonshire,2013,42953
Stirling,2013,38350
Shetland Islands,2013,10082
Aberdeenshire,2013,107569
Perth and Kinross,2013,65860
Inverclyde,2013,36778
North Ayrshire,2013,63107
Orkney Islands,2013,9606
Angus,2013,52019
Highland,2013,106014
Glasgow City,2013,289762
Aberdeen City,2013,108553
Moray,2013,40881
Outer Hebrides,2013,12894
North Lanarkshire,2013,147950
Midlothian,2013,36612
Renfrewshire,2013,80855
City of Edinburgh,2013,228545
East Renfrewshire,2013,37040
West Lothian,2013,74436
Argyll and Bute,2013,41990
Fife,2013,162939
Falkirk,2013,70053
City of Edinburgh,2014,231069
Glasgow City,2014,291264
Aberdeen City,2014,108543
West Dunbartonshire,2014,43283
South Lanarkshire,2014,143607
Dumfries and Galloway,2014,69448
Stirling,2014,38628
Clackmannanshire,2014,23419
Perth and Kinross,2014,66272
Fife,2014,165087
Angus,2014,52295
West Lothian,2014,75178
North Lanarkshire,2014,149118
Aberdeenshire,2014,108856
Argyll and Bute,2014,41761
East Renfrewshire,2014,37287
Falkirk,2014,70325
Renfrewshire,2014,81327
East Dunbartonshire,2014,44519
Shetland Islands,2014,10111
East Lothian,2014,44493
Scottish Borders,2014,53330
Outer Hebrides,2014,12844
Inverclyde,2014,36822
Moray,2014,41355
Midlothian,2014,37245
Highland,2014,107319
Orkney Islands,2014,9704
North Ayrshire,2014,63318
South Ayrshire,2014,52843
Dundee City,2014,70347
East Ayrshire,2014,55383
Renfrewshire,2015,82269
Outer Hebrides,2015,12917
Falkirk,2015,71186
Dumfries and Galloway,2015,69654
West Lothian,2015,75926
East Renfrewshire,2015,37498
North Lanarkshire,2015,149668
Argyll and Bute,2015,41922
South Lanarkshire,2015,144592
Highland,2015,108415
North Ayrshire,2015,63753
Perth and Kinross,2015,66809
Aberdeenshire,2015,110100
Inverclyde,2015,36862
Angus,2015,52784
Fife,2015,165487
Orkney Islands,2015,9805
South Ayrshire,2015,52830
East Ayrshire,2015,55636
Stirling,2015,39005
Glasgow City,2015,294116
Midlothian,2015,37679
West Dunbartonshire,2015,43478
East Dunbartonshire,2015,45044
Moray,2015,41678
Scottish Borders,2015,53521
Clackmannanshire,2015,23495
Aberdeen City,2015,108576
Shetland Islands,2015,10190
City of Edinburgh,2015,231741
Dundee City,2015,70233
East Lothian,2015,44921
Perth and Kinross,2016,67371
Glasgow City,2016,297064
Aberdeenshire,2016,110622
North Lanarkshire,2016,150885
Outer Hebrides,2016,12877
Dundee City,2016,70389
Aberdeen City,2016,110421
South Ayrshire,2016,52847
Moray,2016,41997
Inverclyde,2016,37049
Midlothian,2016,38453
Falkirk,2016,71779
Dumfries and Galloway,2016,69858
Fife,2016,166804
East Renfrewshire,2016,37825
Argyll and Bute,2016,42012
Renfrewshire,2016,82995
Highland,2016,109076
South Lanarkshire,2016,145398
North Ayrshire,2016,63960
Angus,2016,52898
Orkney Islands,2016,9912
Scottish Borders,2016,54020
East Dunbartonshire,2016,45339
East Ayrshire,2016,55799
Clackmannanshire,2016,23562
Stirling,2016,39271
Shetland Islands,2016,10230
East Lothian,2016,45275
West Lothian,2016,76799
West Dunbartonshire,2016,43539
City of Edinburgh,2016,234149
East Dunbartonshire,2017,45690
Angus,2017,53235
North Lanarkshire,2017,151572
Stirling,2017,39624
East Lothian,2017,45884
West Lothian,2017,77505
Renfrewshire,2017,83939
West Dunbartonshire,2017,43638
Moray,2017,42301
Fife,2017,167889
Glasgow City,2017,300282
East Renfrewshire,2017,38133
North Ayrshire,2017,64307
Scottish Borders,2017,54545
South Ayrshire,2017,53073
Argyll and Bute,2017,42520
East Ayrshire,2017,55918
City of Edinburgh,2017,236642
Aberdeen City,2017,111102
Highland,2017,109855
Midlothian,2017,39263
South Lanarkshire,2017,146499
Aberdeenshire,2017,111299
Perth and Kinross,2017,67878
Shetland Islands,2017,10292
Falkirk,2017,72549
Dumfries and Galloway,2017,70186
Orkney Islands,2017,10041
Inverclyde,2017,37083
Clackmannanshire,2017,23749
Outer Hebrides,2017,12706
Dundee City,2017,70873
City of Edinburgh,2018,239453
Renfrewshire,2018,84698
Argyll and Bute,2018,42617
West Lothian,2018,78058
West Dunbartonshire,2018,43768
Stirling,2018,39731
South Lanarkshire,2018,147471
Aberdeenshire,2018,111400
Aberdeen City,2018,112162
Glasgow City,2018,304047
Perth and Kinross,2018,68475
North Lanarkshire,2018,152137
Dundee City,2018,71116
Angus,2018,53474
Fife,2018,168853
East Dunbartonshire,2018,46017
Outer Hebrides,2018,12708
East Renfrewshire,2018,38311
Highland,2018,110368
Falkirk,2018,72944
Dumfries and Galloway,2018,70209
Clackmannanshire,2018,23842
East Lothian,2018,46583
East Ayrshire,2018,56186
Scottish Borders,2018,54548
Orkney Islands,2018,10155
South Ayrshire,2018,53242
Shetland Islands,2018,10329
Midlothian,2018,39777
Inverclyde,2018,37061
North Ayrshire,2018,64445
Moray,2018,42582
City of Edinburgh,2019,242460
Renfrewshire,2019,85664
Argyll and Bute,2019,42797
West Lothian,2019,79186
West Dunbartonshire,2019,43943
Stirling,2019,39974
South Lanarkshire,2019,148816
Aberdeenshire,2019,112574
Aberdeen City,2019,112921
Glasgow City,2019,307161
Perth and Kinross,2019,69337
North Lanarkshire,2019,152872
Dundee City,2019,71495
Angus,2019,53826
Fife,2019,170238
East Dunbartonshire,2019,46191
Outer Hebrides,2019,12783
East Renfrewshire,2019,38557
Highland,2019,111046
Falkirk,2019,73356
Dumfries and Galloway,2019,70346
Clackmannanshire,2019,24090
East Lothian,2019,47413
East Ayrshire,2019,56475
Scottish Borders,2019,54926
Orkney Islands,2019,10226
South Ayrshire,2019,53590
Shetland Islands,2019,10389
Midlothian,2019,40423
Inverclyde,2019,37034
North Ayrshire,2019,64669
Moray,2019,42983
City of Edinburgh,2020,242862
Renfrewshire,2020,86111
Argyll and Bute,2020,42815
West Lothian,2020,80061
West Dunbartonshire,2020,44070
Stirling,2020,40217
South Lanarkshire,2020,149802
Aberdeenshire,2020,113031
Aberdeen City,2020,113392
Glasgow City,2020,309200
Perth and Kinross,2020,69660
North Lanarkshire,2020,153273
Dundee City,2020,71405
Angus,2020,54059
Fife,2020,170704
East Dunbartonshire,2020,46566
Outer Hebrides,2020,12784
East Renfrewshire,2020,38790
Highland,2020,111597
Falkirk,2020,73659
Dumfries and Galloway,2020,70637
Clackmannanshire,2020,24249
East Lothian,2020,48103
East Ayrshire,2020,56629
Scottish Borders,2020,54933
Orkney Islands,2020,10264
South Ayrshire,2020,53481
Shetland Islands,2020,10401
Midlothian,2020,40773
Inverclyde,2020,37080
North Ayrshire,2020,64960
Moray,2020,43187
