region,year,households
West Dunbartonshire,2011,42962
West Dunbartonshire,2017,43638
West Dunbartonshire,2016,43539
West Dunbartonshire,2019,43943
West Dunbartonshire,2018,43768
West Dunbartonshire,2014,43283
West Dunbartonshire,2013,42953
West Dunbartonshire,2012,42966
West Dunbartonshire,2015,43478
West Lothian,2018,78058
West Lothian,2015,75926
West Lothian,2014,75178
West Lothian,2011,73585
West Lothian,2016,76799
West Lothian,2017,77505
West Lothian,2013,74436
West Lothian,2012,73906
West Lothian,2019,79186
Clackmannanshire,2013,23141
Clackmannanshire,2016,23562
Clackmannanshire,2012,23048
Clackmannanshire,2019,24090
Clackmannanshire,2014,23419
Clackmannanshire,2015,23495
Clackmannanshire,2011,22934
Clackmannanshire,2018,23842
Clackmannanshire,2017,23749
Dumfries and Galloway,2018,70209
Dumfries and Galloway,2015,69654
Dumfries and Galloway,2014,69448
Dumfries and Galloway,2017,70186
Dumfries and Galloway,2016,69858
Dumfries and Galloway,2013,69357
Dumfries and Galloway,2019,70346
Dumfries and Galloway,2011,68720
Dumfries and Galloway,2012,69035
East Ayrshire,2017,55918
East Ayrshire,2011,54948
East Ayrshire,2018,56186
East Ayrshire,2013,55532
East Ayrshire,2019,56475
East Ayrshire,2014,55383
East Ayrshire,2012,55201
East Ayrshire,2015,55636
East Ayrshire,2016,55799
East Lothian,2014,44493
East Lothian,2015,44921
East Lothian,2017,45884
East Lothian,2018,46583
East Lothian,2019,47413
East Lothian,2011,43518
East Lothian,2013,44169
East Lothian,2016,45275
East Lothian,2012,43959
East Renfrewshire,2013,37040
East Renfrewshire,2018,38311
East Renfrewshire,2014,37287
East Renfrewshire,2019,38557
East Renfrewshire,2016,37825
East Renfrewshire,2017,38133
East Renfrewshire,2015,37498
East Renfrewshire,2012,36834
East Renfrewshire,2011,36539
Outer Hebrides,2013,12894
Outer Hebrides,2014,12844
Outer Hebrides,2011,12566
Outer Hebrides,2019,12783
Outer Hebrides,2017,12706
Outer Hebrides,2015,12917
Outer Hebrides,2016,12877
Outer Hebrides,2012,12714
Outer Hebrides,2018,12708
Falkirk,2015,71186
Falkirk,2019,73356
Falkirk,2011,69499
Falkirk,2012,69880
Falkirk,2014,70325
Falkirk,2018,72944
Falkirk,2013,70053
Falkirk,2016,71779
Falkirk,2017,72549
Highland,2014,107319
Highland,2016,109076
Highland,2012,104827
Highland,2015,108415
Highland,2017,109855
Highland,2018,110368
Highland,2011,103864
Highland,2013,106014
Highland,2019,111046
Inverclyde,2012,36722
Inverclyde,2014,36822
Inverclyde,2013,36778
Inverclyde,2019,37034
Inverclyde,2018,37061
Inverclyde,2011,36759
Inverclyde,2017,37083
Inverclyde,2016,37049
Inverclyde,2015,36862
Midlothian,2011,35664
Midlothian,2013,36612
Midlothian,2017,39263
Midlothian,2015,37679
Midlothian,2019,40423
Midlothian,2018,39777
Midlothian,2016,38453
Midlothian,2012,36135
Midlothian,2014,37245
Moray,2014,41355
Moray,2013,40881
Moray,2016,41997
Moray,2019,42983
Moray,2017,42301
Moray,2015,41678
Moray,2011,40180
Moray,2012,40536
Moray,2018,42582
North Ayrshire,2015,63753
North Ayrshire,2013,63107
North Ayrshire,2012,62999
North Ayrshire,2014,63318
North Ayrshire,2011,62960
North Ayrshire,2016,63960
North Ayrshire,2019,64669
North Ayrshire,2017,64307
North Ayrshire,2018,64445
Orkney Islands,2011,9424
Orkney Islands,2016,9912
Orkney Islands,2019,10226
Orkney Islands,2014,9704
Orkney Islands,2018,10155
Orkney Islands,2017,10041
Orkney Islands,2012,9529
Orkney Islands,2015,9805
Orkney Islands,2013,9606
Scottish Borders,2016,54020
Scottish Borders,2015,53521
Scottish Borders,2012,52836
Scottish Borders,2019,54926
Scottish Borders,2018,54548
Scottish Borders,2013,53122
Scottish Borders,2017,54545
Scottish Borders,2014,53330
Scottish Borders,2011,52660
Shetland Islands,2017,10292
Shetland Islands,2011,9929
Shetland Islands,2016,10230
Shetland Islands,2012,10043
Shetland Islands,2015,10190
Shetland Islands,2014,10111
Shetland Islands,2018,10329
Shetland Islands,2019,10389
Shetland Islands,2013,10082
South Ayrshire,2013,52598
South Ayrshire,2014,52843
South Ayrshire,2018,53242
South Ayrshire,2015,52830
South Ayrshire,2017,53073
South Ayrshire,2012,52457
South Ayrshire,2016,52847
South Ayrshire,2011,52314
South Ayrshire,2019,53590
South Lanarkshire,2012,141465
South Lanarkshire,2011,140560
South Lanarkshire,2016,145398
South Lanarkshire,2018,147471
South Lanarkshire,2014,143607
South Lanarkshire,2013,142377
South Lanarkshire,2017,146499
South Lanarkshire,2019,148816
South Lanarkshire,2015,144592
Stirling,2013,38350
Stirling,2016,39271
Stirling,2012,38182
Stirling,2011,37946
Stirling,2019,39974
Stirling,2018,39731
Stirling,2015,39005
Stirling,2017,39624
Stirling,2014,38628
Aberdeen City,2018,112162
Aberdeen City,2011,106657
Aberdeen City,2019,112921
Aberdeen City,2017,111102
Aberdeen City,2015,108576
Aberdeen City,2014,108543
Aberdeen City,2012,107273
Aberdeen City,2016,110421
Aberdeen City,2013,108553
Aberdeenshire,2019,112574
Aberdeenshire,2011,105397
Aberdeenshire,2013,107569
Aberdeenshire,2018,111400
Aberdeenshire,2014,108856
Aberdeenshire,2016,110622
Aberdeenshire,2017,111299
Aberdeenshire,2012,106439
Aberdeenshire,2015,110100
Argyll and Bute,2011,41396
Argyll and Bute,2019,42797
Argyll and Bute,2014,41761
Argyll and Bute,2018,42617
Argyll and Bute,2016,42012
Argyll and Bute,2013,41990
Argyll and Bute,2012,41471
Argyll and Bute,2015,41922
Argyll and Bute,2017,42520
City of Edinburgh,2012,225748
City of Edinburgh,2019,242460
City of Edinburgh,2017,236642
City of Edinburgh,2013,228545
City of Edinburgh,2011,225161
City of Edinburgh,2016,234149
City of Edinburgh,2015,231741
City of Edinburgh,2014,231069
City of Edinburgh,2018,239453
Renfrewshire,2011,79780
Renfrewshire,2012,79795
Renfrewshire,2018,84698
Renfrewshire,2016,82995
Renfrewshire,2015,82269
Renfrewshire,2013,80855
Renfrewshire,2017,83939
Renfrewshire,2019,85664
Renfrewshire,2014,81327
Angus,2017,53235
Angus,2019,53826
Angus,2018,53474
Angus,2013,52019
Angus,2016,52898
Angus,2011,51334
Angus,2014,52295
Angus,2012,51744
Angus,2015,52784
Dundee City,2013,70277
Dundee City,2014,70347
Dundee City,2019,71495
Dundee City,2011,69913
Dundee City,2016,70389
Dundee City,2015,70233
Dundee City,2018,71116
Dundee City,2017,70873
Dundee City,2012,69999
East Dunbartonshire,2011,43459
East Dunbartonshire,2016,45339
East Dunbartonshire,2014,44519
East Dunbartonshire,2015,45044
East Dunbartonshire,2018,46017
East Dunbartonshire,2019,46191
East Dunbartonshire,2017,45690
East Dunbartonshire,2012,43773
East Dunbartonshire,2013,44099
Fife,2013,162939
Fife,2012,162703
Fife,2018,168853
Fife,2016,166804
Fife,2017,167889
Fife,2015,165487
Fife,2011,161866
Fife,2014,165087
Fife,2019,170238
Perth and Kinross,2016,67371
Perth and Kinross,2018,68475
Perth and Kinross,2019,69337
Perth and Kinross,2013,65860
Perth and Kinross,2014,66272
Perth and Kinross,2012,65408
Perth and Kinross,2017,67878
Perth and Kinross,2011,65105
Perth and Kinross,2015,66809
Glasgow City,2017,300282
Glasgow City,2013,289762
Glasgow City,2015,294116
Glasgow City,2011,288789
Glasgow City,2016,297064
Glasgow City,2018,304047
Glasgow City,2012,288979
Glasgow City,2014,291264
Glasgow City,2019,307161
North Lanarkshire,2014,149118
North Lanarkshire,2013,147950
North Lanarkshire,2018,152137
North Lanarkshire,2015,149668
North Lanarkshire,2017,151572
North Lanarkshire,2016,150885
North Lanarkshire,2019,152872
North Lanarkshire,2012,147334
North Lanarkshire,2011,146543
